day,timestamp
2019-06-04,146
2019-06-05,752
2019-06-06,525
2019-06-07,984
2019-06-08,360
2019-06-09,221
2019-06-10,552
2019-06-11,779
2019-06-12,896
2019-06-13,650
2019-06-14,659
2019-06-15,287
2019-06-16,290
2019-06-17,774
2019-06-18,888
2019-06-19,1103
2019-06-20,920
2019-06-21,741
2019-06-22,430
2019-06-23,317
2019-06-24,551
2019-06-25,562
2019-06-26,422
2019-06-27,675
2019-06-28,684
2019-06-29,504
2019-06-30,720
2019-08-02,246
2019-08-03,544
2019-08-04,274
2019-08-05,814
2019-08-06,1146
2019-08-07,998
2019-08-08,1494
2019-08-09,3005
2019-08-10,1384
2019-08-11,985
2019-08-12,2237
2019-08-13,2783
2019-08-14,1703
2019-08-15,685
2019-08-16,839
2019-08-17,402
2019-08-18,462
2019-08-19,651
2019-08-20,1301
2019-08-21,1279
2019-08-22,1420
2019-08-23,1030
2019-08-24,374
2019-08-25,310
2019-08-26,1088
2019-08-27,929
2019-08-28,948
2019-08-29,1239
2019-08-30,914
2019-08-31,331
2019-09-01,241
2019-09-02,389
2019-09-03,748
2019-09-04,801
2019-09-05,815
2019-09-06,907
2019-09-07,841
2019-09-08,452
2019-09-09,1175
2019-09-10,1364
2019-09-11,2435
2019-09-12,1904
2019-09-13,1127
2019-09-14,618
2019-09-15,687
2019-09-16,1635
2019-09-17,1345
2019-09-18,888
2019-09-19,1037
2019-09-20,124
2019-09-21,566
2019-09-22,599
2019-09-23,735
2019-09-24,819
2019-09-25,1159
2019-09-26,1456
2019-09-27,1057
2019-09-28,752
2019-09-29,1249
2019-09-30,1380
2019-10-01,1794
2019-10-02,1451
2019-10-03,1282
2019-10-04,877
2019-10-05,369
2019-10-06,706
2019-10-07,629
2019-10-08,1136
2019-10-09,1197
2019-10-10,1599
2019-10-11,1332
2019-10-12,477
2019-10-13,596
2019-10-14,996
2019-10-15,2394
2019-10-16,3971
2019-10-17,4372
2019-10-18,3058
2019-10-19,1340
2019-10-20,2044
2019-10-21,3420
2019-10-22,1777
2019-10-23,1331
2019-10-24,733
2019-10-25,1017
2019-10-26,848
2019-10-27,624
2019-10-28,2353
2019-10-29,2121
2019-10-30,1644
2019-10-31,3840
2019-11-01,3416
2019-11-02,1814
2019-11-03,1319
2019-11-04,2903
2019-11-05,4329
2019-11-06,5108
2019-11-07,2983
2019-11-08,1185
2019-11-09,3205
2019-11-10,1225
2019-11-11,1750
2019-11-12,8235
2019-11-13,10840
2019-11-14,12940
2019-11-15,6948
2019-11-16,1888
2019-11-17,1670
2019-11-18,4336
2019-11-19,7058
2019-11-20,6442
2019-11-21,6890
2019-11-22,4805
2019-11-23,2414
2019-11-24,209
2019-11-25,1099
2019-11-26,2414
2019-11-27,1417
2019-11-28,680
2019-11-29,686
2019-11-30,465
2019-12-01,200
2019-12-02,348
2019-12-03,1216
2019-12-04,883
2019-12-05,778
2019-12-06,742
2019-12-07,966
2019-12-08,1128
2019-12-09,1978
2019-12-10,2955
2019-12-11,3231
2019-12-12,3411
2019-12-13,2659
2019-12-14,1311
2019-12-15,975
2019-12-16,1960
2019-12-17,2930
2019-12-18,4541
2019-12-19,3306
2019-12-20,2349
2019-12-21,1221
2019-12-22,1110
2019-12-23,2140
2019-12-24,1920
2019-12-25,1098
2019-12-26,2439
2019-12-27,3096
2019-12-28,1247
2019-12-29,972
2019-12-30,3108
2019-12-31,1689
2020-01-01,547
2020-01-02,702
2020-01-03,508
2020-01-04,768
2020-01-05,709
2020-01-06,1474
2020-01-07,1406
2020-01-08,1970
2020-01-09,2520
2020-01-10,1772
2020-01-11,1480
2020-01-12,986
2020-01-13,1876
2020-01-14,2796
2020-01-15,3802
2020-01-16,2698
2020-01-17,2204
2020-01-18,1436
2020-01-19,1082
2020-01-20,1604
2020-01-21,3350
2020-01-22,2182
2020-01-23,3102
2020-01-24,4120
2020-01-25,1322
2020-01-26,716
2020-01-27,1022
2020-01-28,939
2020-01-29,1000
2020-01-30,819
2020-01-31,783
2020-02-01,467
2020-02-02,221
